transaction_id,user_id,timestamp,amount,type,channel,location,merchant

20001,1001,2025-06-25 10:30:00,150.75,Purchase,POS,"Sandton, GP",Woolworths
20002,1002,2025-06-25 11:45:10,500.00,Withdrawal,ATM,"Durban CBD, KZN",FNB ATM
20003,1003,2025-06-25 13:00:20,3500.00,Transfer,Online,"Cape Town, WC",Other Bank
20004,1004,2025-06-25 14:15:30,85.20,Purchase,POS,"Polokwane, LP",Shoprite
20005,1005,2025-06-25 15:30:40,750.00,Purchase,Online,"Gqeberha, EC",Takealot
20006,1001,2025-06-26 09:00:05,45.00,Fare,App,"Rosebank, GP",Gautrain
20007,1001,2025-06-26 09:30:15,600.00,Withdrawal,ATM,"Rosebank, GP",Standard Bank ATM
20008,1002,2025-06-26 10:00:25,250.50,Purchase,POS,"Umhlanga, KZN",Spur
20009,1003,2025-06-26 11:15:35,1200.00,Deposit,ATM,"Bellville, WC",FNB ATM
20010,1004,2025-06-26 12:30:45,150.00,Purchase,POS,"Mbombela, MP",Puma Energy
20011,1005,2025-06-26 13:45:55,2500.00,Purchase,Online,"Bloemfontein, FS",Flight Centre
20012,1006,2025-06-27 08:00:00,50.00,Purchase,POS,"Potchefstroom, NW",KFC
20013,1007,2025-06-27 09:10:10,180.00,Purchase,POS,"Kimberley, NC",Game
20014,1008,2025-06-27 10:20:20,95.00,Purchase,POS,"Rustenburg, NW",Checkers
20015,1009,2025-06-27 11:30:30,220.00,Purchase,POS,"Pretoria, GP",Clicks
20016,1010,2025-06-27 12:40:40,15000.00,Transfer,Online,"Johannesburg, GP",Offshore Account
20017,1001,2025-06-27 13:00:00,10.00,Purchase,POS,"Sandton, GP",Small Shop
20018,1001,2025-06-27 13:01:00,10.00,Purchase,POS,"Durban CBD, KZN",Another Small Shop
20019,1004,2025-06-27 15:00:00,1500.00,Purchase,POS,"Polokwane, LP",Electronics Store
20020,1002,2025-06-27 16:30:00,3000.00,Withdrawal,ATM,"Cape Town, WC",Unusual ATM
